compound_name,amendment,rf
Gonyol,Nit,232996.3544975066
Gonyol,Amm,287556.30189140217
Gonyol,GMP,395404.5242119234
Gonyol,Arg,465950.6685125532
L-Tyrosine,Nit,402581.04621138016
L-Tyrosine,Amm,243030.95368635506
L-Tyrosine,GMP,341923.414900307
L-Tyrosine,Arg,487943.0884845859
Choline sulfate,Nit,2082697.696162311
Choline sulfate,Amm,1704192.1756238036
Choline sulfate,GMP,3276592.204115172
Choline sulfate,Arg,3496260.4493897445
Phosphocholine,Nit,675933.323908773
Phosphocholine,Amm,296771.28086415015
Phosphocholine,GMP,617750.0692456763
Phosphocholine,Arg,668784.8232046564
N6-Acetyl-L-lysine,Nit,1354867.1378387925
N6-Acetyl-L-lysine,Amm,924242.3930406391
N6-Acetyl-L-lysine,GMP,1209011.6141328833
N6-Acetyl-L-lysine,Arg,1336219.0038064292
"N6,N6,N6-Trimethyl-L-lysine",Nit,1592456.4312214046
"N6,N6,N6-Trimethyl-L-lysine",Amm,1259069.0538254515
"N6,N6,N6-Trimethyl-L-lysine",GMP,1526825.6664546267
"N6,N6,N6-Trimethyl-L-lysine",Arg,1025053.0779489003
O-Acetylcarnitine,Nit,6385583.064599197
O-Acetylcarnitine,Amm,5499711.739015764
O-Acetylcarnitine,GMP,10142784.970484173
O-Acetylcarnitine,Arg,10272148.240778716
Dexpanthenol,Nit,1635071.1103814861
Dexpanthenol,Amm,2851064.6889380217
Dexpanthenol,GMP,4319954.680559824
Dexpanthenol,Arg,3058186.9079503496
Thymidine,Amm,173828.65138258724
Thymidine,GMP,178738.8441834051
Thymidine,Arg,253097.1998152552
Uridine,Arg,424470.2489150465
Cytidine,Nit,464259.72669918847
Cytidine,Amm,433646.0236958573
Cytidine,GMP,802986.0858799355
Cytidine,Arg,706420.0893166472
Deoxyadenosine,Nit,2528766.9179985286
Deoxyadenosine,Amm,3797054.9080793126
Deoxyadenosine,GMP,6830494.324427176
Deoxyadenosine,Arg,6631207.908949656
2-O-alpha-D-Glucosylglycerol,Nit,27777.78999381965
2-O-alpha-D-Glucosylglycerol,Amm,26055.951405857326
2-O-alpha-D-Glucosylglycerol,GMP,37018.59056279507
2-O-alpha-D-Glucosylglycerol,Arg,42557.96629890441
Glycerophosphocholine,Nit,1214079.2329361488
Glycerophosphocholine,Amm,453421.09258484165
Glycerophosphocholine,GMP,1330499.8656300812
Glycerophosphocholine,Arg,1410055.9838220845
Adenosine,Nit,3184952.45768527
Adenosine,Amm,3078141.9855241543
Adenosine,GMP,6137794.194563386
Adenosine,Arg,6532595.306775382
Inosine,Nit,337474.5965057547
Inosine,Amm,269169.19858271244
Inosine,GMP,376483.54315175186
Inosine,Arg,415081.47936134733
Guanosine,Nit,454912.70836050203
Guanosine,Amm,314717.07996141963
Guanosine,GMP,481802.51077246416
Guanosine,Arg,680180.8778276371
Sucrose,Nit,199699.78735340282
Sucrose,Amm,140394.6978053494
Sucrose,GMP,197208.46908263105
Sucrose,Arg,281059.13037067116
Trehalose,Nit,160457.91602213477
Trehalose,Amm,107869.67966701575
Trehalose,GMP,236303.0863063376
Trehalose,Arg,241287.2041695738
