amendment,filename,compound_name,polarity,area
Amm,210916_Smp_Amm-Deep-Morn-T10-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,40067.109316742055
Amm,210916_Smp_Amm-Deep-Morn-T10-B-noIS-pos.mzML,"Taurine, 2H4",pos,55894.22611166657
Amm,210916_Smp_Amm-Deep-Morn-T10-C-noIS-neg.mzML,"Taurine, 2H4",neg,182899.363162643
Amm,210916_Smp_Amm-Deep-Morn-T10-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,46779.171454410454
Amm,210916_Smp_Amm-Deep-Morn-T10-C-noIS-pos.mzML,"Taurine, 2H4",pos,66320.78469214184
Amm,210916_Smp_Amm-Deep-Morn-T26-A-noIS-neg.mzML,"Taurine, 2H4",neg,191094.10121284044
Amm,210916_Smp_Amm-Deep-Morn-T26-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,44532.445159041556
Amm,210916_Smp_Amm-Deep-Morn-T26-A-noIS-pos.mzML,"Taurine, 2H4",pos,52360.367523561676
Amm,210916_Smp_Amm-Deep-Morn-T26-B-noIS-neg.mzML,"Taurine, 2H4",neg,161342.98760485565
Amm,210916_Smp_Amm-Deep-Morn-T26-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,41132.67491416035
Amm,210916_Smp_Amm-Deep-Morn-T26-B-noIS-pos.mzML,"Taurine, 2H4",pos,50209.486052417196
Amm,210916_Smp_Amm-Deep-Morn-T26-C-noIS-neg.mzML,"Taurine, 2H4",neg,167829.31601958614
Amm,210916_Smp_Amm-Deep-Morn-T26-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,42724.739589444034
Amm,210916_Smp_Amm-Deep-Morn-T26-C-noIS-pos.mzML,"Taurine, 2H4",pos,57542.73519654531
Amm,210916_Smp_Amm-Deep-Morn-T3-A-noIS-neg.mzML,"Taurine, 2H4",neg,216738.69996150394
Amm,210916_Smp_Amm-Deep-Morn-T3-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,53318.82024817608
Amm,210916_Smp_Amm-Deep-Morn-T3-A-noIS-pos.mzML,"Taurine, 2H4",pos,80012.13575617241
Amm,210916_Smp_Amm-Deep-Morn-T3-B-noIS-neg.mzML,"Taurine, 2H4",neg,188148.08900704017
Amm,210916_Smp_Amm-Deep-Morn-T3-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,49735.87617702136
Amm,210916_Smp_Amm-Deep-Morn-T3-B-noIS-pos.mzML,"Taurine, 2H4",pos,67100.69675335308
Amm,210916_Smp_Amm-Deep-Morn-T3-C-noIS-neg.mzML,"Taurine, 2H4",neg,155680.01658091185
Amm,210916_Smp_Amm-Deep-Morn-T3-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,37409.79687111212
Amm,210916_Smp_Amm-Deep-Morn-T3-C-noIS-pos.mzML,"Taurine, 2H4",pos,44916.01550652501
Amm,210916_Smp_Amm-Surf-Eve-T0-A-noIS-neg.mzML,"Taurine, 2H4",neg,226121.05079098267
Amm,210916_Smp_Amm-Surf-Eve-T0-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,72165.018663763
Amm,210916_Smp_Amm-Surf-Eve-T0-A-noIS-pos.mzML,"Taurine, 2H4",pos,95416.78615559949
Amm,210916_Smp_Amm-Surf-Eve-T0-B-noIS-neg.mzML,"Taurine, 2H4",neg,125238.34261491898
Amm,210916_Smp_Amm-Surf-Eve-T0-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,40358.66763640073
Amm,210916_Smp_Amm-Surf-Eve-T0-B-noIS-pos.mzML,"Taurine, 2H4",pos,37246.690886094075
Amm,210916_Smp_Amm-Surf-Eve-T0-C-noIS-neg.mzML,"Taurine, 2H4",neg,157606.14686707302
Amm,210916_Smp_Amm-Surf-Eve-T0-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,47464.90017508571
Amm,210916_Smp_Amm-Surf-Eve-T0-C-noIS-pos.mzML,"Taurine, 2H4",pos,58104.29795312541
Amm,210916_Smp_Amm-Surf-Eve-T1-A-noIS-neg.mzML,"Taurine, 2H4",neg,153926.47513322267
Amm,210916_Smp_Amm-Surf-Eve-T1-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,47147.5494521193
Amm,210916_Smp_Amm-Surf-Eve-T1-A-noIS-pos.mzML,"Taurine, 2H4",pos,56274.6816067668
Amm,210916_Smp_Amm-Surf-Eve-T1-B-noIS-neg.mzML,"Taurine, 2H4",neg,199800.7224781136
Amm,210916_Smp_Amm-Surf-Eve-T1-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,53857.12618215556
Amm,210916_Smp_Amm-Surf-Eve-T1-B-noIS-pos.mzML,"Taurine, 2H4",pos,73164.65027078423
Amm,210916_Smp_Amm-Surf-Eve-T1-C-noIS-neg.mzML,"Taurine, 2H4",neg,176156.60479805604
Amm,210916_Smp_Amm-Surf-Eve-T1-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,50131.74425168829
Amm,210916_Smp_Amm-Surf-Eve-T1-C-noIS-pos.mzML,"Taurine, 2H4",pos,60894.54038674666
