filepath,filename,shortname,IS_type,polarity,amendment,depth,startime,timepoint,tripl,cast,station
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T0-B-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T0-B-noIS-neg.mzML,Nit-Deep-Morn-T0-B.mzML,noIS,neg,Nit,Deep,Morn,T0,B,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T0-B-wIS.mzML,210813_Smp_Nit-Deep-Morn-T0-B-wIS.mzML,Nit-Deep-Morn-T0-B.mzML,wIS,neg,Nit,Deep,Morn,T0,B,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T0-C-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T0-C-noIS-neg.mzML,Nit-Deep-Morn-T0-C.mzML,noIS,neg,Nit,Deep,Morn,T0,C,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T0-C-wIS.mzML,210813_Smp_Nit-Deep-Morn-T0-C-wIS.mzML,Nit-Deep-Morn-T0-C.mzML,wIS,neg,Nit,Deep,Morn,T0,C,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T1-A-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T1-A-noIS-neg.mzML,Nit-Deep-Morn-T1-A.mzML,noIS,neg,Nit,Deep,Morn,T1,A,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T1-A-wIS.mzML,210813_Smp_Nit-Deep-Morn-T1-A-wIS.mzML,Nit-Deep-Morn-T1-A.mzML,wIS,neg,Nit,Deep,Morn,T1,A,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T1-B-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T1-B-noIS-neg.mzML,Nit-Deep-Morn-T1-B.mzML,noIS,neg,Nit,Deep,Morn,T1,B,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T1-B-wIS.mzML,210813_Smp_Nit-Deep-Morn-T1-B-wIS.mzML,Nit-Deep-Morn-T1-B.mzML,wIS,neg,Nit,Deep,Morn,T1,B,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T1-C-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T1-C-noIS-neg.mzML,Nit-Deep-Morn-T1-C.mzML,noIS,neg,Nit,Deep,Morn,T1,C,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T1-C-wIS.mzML,210813_Smp_Nit-Deep-Morn-T1-C-wIS.mzML,Nit-Deep-Morn-T1-C.mzML,wIS,neg,Nit,Deep,Morn,T1,C,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T10-A-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T10-A-noIS-neg.mzML,Nit-Deep-Morn-T10-A.mzML,noIS,neg,Nit,Deep,Morn,T10,A,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T10-A-wIS.mzML,210813_Smp_Nit-Deep-Morn-T10-A-wIS.mzML,Nit-Deep-Morn-T10-A.mzML,wIS,neg,Nit,Deep,Morn,T10,A,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T10-B-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T10-B-noIS-neg.mzML,Nit-Deep-Morn-T10-B.mzML,noIS,neg,Nit,Deep,Morn,T10,B,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T10-B-wIS.mzML,210813_Smp_Nit-Deep-Morn-T10-B-wIS.mzML,Nit-Deep-Morn-T10-B.mzML,wIS,neg,Nit,Deep,Morn,T10,B,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T10-C-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T10-C-noIS-neg.mzML,Nit-Deep-Morn-T10-C.mzML,noIS,neg,Nit,Deep,Morn,T10,C,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T10-C-wIS.mzML,210813_Smp_Nit-Deep-Morn-T10-C-wIS.mzML,Nit-Deep-Morn-T10-C.mzML,wIS,neg,Nit,Deep,Morn,T10,C,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T26-A-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T26-A-noIS-neg.mzML,Nit-Deep-Morn-T26-A.mzML,noIS,neg,Nit,Deep,Morn,T26,A,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T26-A-wIS.mzML,210813_Smp_Nit-Deep-Morn-T26-A-wIS.mzML,Nit-Deep-Morn-T26-A.mzML,wIS,neg,Nit,Deep,Morn,T26,A,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T26-B-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T26-B-noIS-neg.mzML,Nit-Deep-Morn-T26-B.mzML,noIS,neg,Nit,Deep,Morn,T26,B,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T26-B-wIS.mzML,210813_Smp_Nit-Deep-Morn-T26-B-wIS.mzML,Nit-Deep-Morn-T26-B.mzML,wIS,neg,Nit,Deep,Morn,T26,B,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T26-C-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T26-C-noIS-neg.mzML,Nit-Deep-Morn-T26-C.mzML,noIS,neg,Nit,Deep,Morn,T26,C,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T26-C-wIS.mzML,210813_Smp_Nit-Deep-Morn-T26-C-wIS.mzML,Nit-Deep-Morn-T26-C.mzML,wIS,neg,Nit,Deep,Morn,T26,C,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T3-A-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T3-A-noIS-neg.mzML,Nit-Deep-Morn-T3-A.mzML,noIS,neg,Nit,Deep,Morn,T3,A,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T3-A-wIS.mzML,210813_Smp_Nit-Deep-Morn-T3-A-wIS.mzML,Nit-Deep-Morn-T3-A.mzML,wIS,neg,Nit,Deep,Morn,T3,A,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T3-B-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T3-B-noIS-neg.mzML,Nit-Deep-Morn-T3-B.mzML,noIS,neg,Nit,Deep,Morn,T3,B,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T3-B-wIS.mzML,210813_Smp_Nit-Deep-Morn-T3-B-wIS.mzML,Nit-Deep-Morn-T3-B.mzML,wIS,neg,Nit,Deep,Morn,T3,B,9,2
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T3-C-noIS-neg.mzML,210813_Smp_Nit-Deep-Morn-T3-C-noIS-neg.mzML,Nit-Deep-Morn-T3-C.mzML,noIS,neg,Nit,Deep,Morn,T3,C,9,2
