filepath,filename,shortname,samp_type,IS_type,polarity,amendment,depth,startime,timepoint,tripl,cast,station
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T3-A-wIS.mzML,210813_Smp_Nit-Deep-Eve-T3-A-wIS.mzML,Nit-Deep-Eve-T3-A.mzML,Smp,wIS,pos,Nit,Deep,Eve,T3,A,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T3-B-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T3-B-noIS-pos.mzML,Nit-Deep-Eve-T3-B.mzML,Smp,noIS,pos,Nit,Deep,Eve,T3,B,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T3-B-wIS.mzML,210813_Smp_Nit-Deep-Eve-T3-B-wIS.mzML,Nit-Deep-Eve-T3-B.mzML,Smp,wIS,pos,Nit,Deep,Eve,T3,B,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T3-C-noIS-pos.mzML,210813_Smp_Nit-Deep-Eve-T3-C-noIS-pos.mzML,Nit-Deep-Eve-T3-C.mzML,Smp,noIS,pos,Nit,Deep,Eve,T3,C,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Eve-T3-C-wIS.mzML,210813_Smp_Nit-Deep-Eve-T3-C-wIS.mzML,Nit-Deep-Eve-T3-C.mzML,Smp,wIS,pos,Nit,Deep,Eve,T3,C,11,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T0-A-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T0-A-noIS-pos.mzML,Nit-Deep-Morn-T0-A.mzML,Smp,noIS,pos,Nit,Deep,Morn,T0,A,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T0-A-wIS.mzML,210813_Smp_Nit-Deep-Morn-T0-A-wIS.mzML,Nit-Deep-Morn-T0-A.mzML,Smp,wIS,pos,Nit,Deep,Morn,T0,A,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T0-B-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T0-B-noIS-pos.mzML,Nit-Deep-Morn-T0-B.mzML,Smp,noIS,pos,Nit,Deep,Morn,T0,B,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T0-B-wIS.mzML,210813_Smp_Nit-Deep-Morn-T0-B-wIS.mzML,Nit-Deep-Morn-T0-B.mzML,Smp,wIS,pos,Nit,Deep,Morn,T0,B,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T0-C-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T0-C-noIS-pos.mzML,Nit-Deep-Morn-T0-C.mzML,Smp,noIS,pos,Nit,Deep,Morn,T0,C,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T0-C-wIS.mzML,210813_Smp_Nit-Deep-Morn-T0-C-wIS.mzML,Nit-Deep-Morn-T0-C.mzML,Smp,wIS,pos,Nit,Deep,Morn,T0,C,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T1-A-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T1-A-noIS-pos.mzML,Nit-Deep-Morn-T1-A.mzML,Smp,noIS,pos,Nit,Deep,Morn,T1,A,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T1-A-wIS.mzML,210813_Smp_Nit-Deep-Morn-T1-A-wIS.mzML,Nit-Deep-Morn-T1-A.mzML,Smp,wIS,pos,Nit,Deep,Morn,T1,A,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T1-B-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T1-B-noIS-pos.mzML,Nit-Deep-Morn-T1-B.mzML,Smp,noIS,pos,Nit,Deep,Morn,T1,B,9,2
